API Name,Display Name,Memory GiB,vCPUs,Supports EKS
#TODO Does EKS supports all instance types, not just those shown in the GUI?
c5n.metal,C5N Metal,192,72,
c5n.xlarge,C5N Extra Large,10.5,4,
cc2.8xlarge,Cluster Compute Eight Extra Large,60.5,32,
cr1.8xlarge,High Memory Cluster Eight Extra Large,244,32,
d2.2xlarge,D2 Double Extra Large,61,8,
d2.4xlarge,D2 Quadruple Extra Large,122,16,
d2.8xlarge,D2 Eight Extra Large,244,36,
d2.xlarge,D2 Extra Large,30.5,4,
f1.16xlarge,F1 16xlarge,976,64,
f1.2xlarge,F1 Double Extra Large,122,8,
f1.4xlarge,F1 Quadruple Extra Large,244,16,
g2.2xlarge,G2 Double Extra Large,15,8,
g2.8xlarge,G2 Eight Extra Large,60,32,
g3.16xlarge,G3 16xlarge,488,64,
g3.4xlarge,G3 Quadruple Extra Large,122,16,
g3.8xlarge,G3 Eight Extra Large,244,32,
g3s.xlarge,G3S Extra Large,30.5,4,
g4dn.12xlarge,G4DN 12xlarge,192,48,
g4dn.16xlarge,G4DN 16xlarge,256,64,
g4dn.2xlarge,G4DN Double Extra Large,32,8,
g4dn.4xlarge,G4DN Quadruple Extra Large,64,16,
g4dn.8xlarge,G4DN Eight Extra Large,128,32,
g4dn.metal,G4DN Metal,384,96,
g4dn.xlarge,G4DN Extra Large,16,4,
h1.16xlarge,H1 16xlarge,256,64,
h1.2xlarge,H1 Double Extra Large,32,8,
h1.4xlarge,H1 Quadruple Extra Large,64,16,
h1.8xlarge,H1 Eight Extra Large,128,32,
